Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
0.75,0.6774193548387096,0.032058326863831865,0.0,0.700193423597679,0.7411764705882353
0.75,0.7419354838709677,0.04878515494816788,0.0,0.30851063829787234,0.8117647058823529
0.75,0.7741935483870968,0.03962403412176295,0.0,0.2642649903288201,0.788235294117647
0.125,0.6774193548387096,0.032058326863831865,0.0,0.2209864603481625,0.8941176470588236
0.75,0.6774193548387096,0.032058326863831865,0.0,0.22195357833655704,0.5294117647058824
0.75,0.7741935483870968,0.03962403412176295,0.0,0.16779497098646037,0.8705882352941177
0.125,0.6451612903225806,0.02775903316722612,0.0,0.18060928433268858,0.9176470588235294
0.75,0.7096774193548387,0.04287416953174437,0.0,0.19414893617021275,0.788235294117647
0.875,0.8064516129032258,0.03909667763801904,0.0,0.1182301740812379,0.5647058823529412
0.75,0.7741935483870968,0.03962403412176295,0.0,0.2052707930367505,0.788235294117647
0.5,0.9032258064516129,0.04381943003876466,0.0,0.21977756286266925,0.9882352941176471
0.4375,0.6129032258064516,0.02496090146628165,0.0,0.009671179883945842,0.9647058823529412
0.125,0.6451612903225806,0.02775903316722612,0.0,0.22243713733075435,0.7529411764705882
0.875,0.9032258064516129,0.04381943003876466,0.0,0.12427466150870406,0.9882352941176471
0.4375,0.5483870967741935,0.006818413557345904,0.0,0.13273694390715668,0.9647058823529412
0.125,0.6451612903225806,0.02775903316722612,0.0,0.12935203094777561,0.7529411764705882
0.4375,0.5161290322580645,0.0031425855002385197,0.0,0.12306576402321083,0.9647058823529412
0.875,0.8387096774193549,0.04524697968624779,0.0,0.10251450676982593,0.8823529411764706
0.875,0.8064516129032258,0.03909667763801904,0.0,0.08897485493230174,0.8705882352941177
0.5,0.8709677419354839,0.04046392085951729,0.0,0.1385396518375242,0.8235294117647058
0.875,0.8709677419354839,0.04046392085951729,0.0,0.10251450676982593,0.8235294117647058
0.875,0.7741935483870968,0.03962403412176295,0.0,0.08679883945841392,0.9529411764705882
0.5,0.8387096774193549,0.04524697968624779,0.0,0.1385396518375242,0.8823529411764706
0.4375,0.5161290322580645,0.0031425855002385197,0.0,0.10904255319148935,0.9882352941176471
0.75,0.7419354838709677,0.04878515494816788,0.0,0.061653771760154734,0.9411764705882353
0.0,0.8387096774193549,0.04524697968624779,0.0,0.0971953578336557,0.8470588235294118
0.5,0.8064516129032258,0.03909667763801904,0.0,0.10565764023210832,0.8823529411764706
0.5625,0.9354838709677419,0.04666890759796058,0.0,0.15256286266924565,0.9882352941176471
0.125,0.6451612903225806,0.02775903316722612,0.0,0.08341392649903288,0.8588235294117647
0.875,0.7096774193548387,0.04287416953174437,0.0,0.06794003868471954,0.9529411764705882
0.4375,0.6129032258064516,0.02496090146628165,0.0,0.00024177949709864604,0.8941176470588236
0.75,0.7096774193548387,0.04287416953174437,0.0,0.08099613152804643,0.9882352941176471
0.875,0.7419354838709677,0.04878515494816788,0.0,0.07422630560928432,1.0
0.375,0.3870967741935484,0.00448612534218481,0.0,0.09356866537717602,0.9764705882352941
0.0,0.8387096774193549,0.04524697968624779,0.0,0.0725338491295938,0.9058823529411765
0.5,0.8064516129032258,0.03909667763801904,0.0,0.1165377176015474,0.8352941176470589
0.5,0.7741935483870968,0.03962403412176295,0.0,0.08800773694390716,0.9529411764705882
0.5,0.7419354838709677,0.04878515494816788,0.0,0.0892166344294004,1.0
0.875,0.9032258064516129,0.04381943003876466,0.0,0.061895551257253385,0.7058823529411765
0.75,0.8387096774193549,0.04524697968624779,0.0,0.07519342359767892,0.7176470588235294
0.0,0.8709677419354839,0.04046392085951729,0.0,0.07591876208897486,0.7647058823529411
0.875,0.8064516129032258,0.03909667763801904,0.0,0.047147001934235974,0.9176470588235294
0.375,0.3870967741935484,0.00448612534218481,0.0,0.05971953578336558,0.9294117647058824
0.875,0.8709677419354839,0.04046392085951729,0.0,0.05512572533849129,0.8705882352941177
0.375,0.45161290322580644,0.00586399349981405,0.0,0.08268858800773694,0.9411764705882353
0.75,0.8064516129032258,0.03909667763801904,0.0,0.06890715667311412,0.7176470588235294
0.5,0.9032258064516129,0.04381943003876466,0.0,0.08776595744680851,0.6823529411764706
0.875,0.7096774193548387,0.04287416953174437,0.0,0.05705996131528046,0.9529411764705882
0.0,0.8709677419354839,0.04046392085951729,0.0,0.05705996131528046,0.8823529411764706
0.125,0.7096774193548387,0.04287416953174437,0.0,0.04472920696324952,0.6941176470588235
0.875,0.8387096774193549,0.04524697968624779,0.0,0.06745647969052225,0.9764705882352941
0.5625,0.967741935483871,0.03657115369217252,0.0,0.14796905222437137,0.8117647058823529
0.9375,0.6129032258064516,0.02496090146628165,0.0,0.03699226305609284,0.9647058823529412
0.75,0.8064516129032258,0.03909667763801904,0.0,0.08389748549323019,0.6470588235294118
0.75,0.7096774193548387,0.04287416953174437,0.0,0.05415860735009672,0.5764705882352941
0.5,0.8709677419354839,0.04046392085951729,0.0,0.12113152804642166,0.8823529411764706
