Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
GBA,2001.0,402931315045.37634,EU,1.24,84.0
PSP,2008.0,847701674062.6414,EU,0.55,81.0
PS3,2011.0,813223433671.1685,EU,1.85,96.0
XOne,2014.0,827079607752.4867,EU,2.19,97.0
GBA,2001.0,402931315045.37634,EU,1.64,93.0
PS2,2001.0,402931315045.37634,EU,2.29,66.0
PS3,2008.0,847701674062.6414,EU,1.83,85.0
PS4,2016.0,732733680124.9802,EU,2.5,93.0
PS3,2009.0,758429859433.3378,EU,1.21,83.0
PS,2000.0,398749333247.69476,EU,0.77,94.0
X360,2012.0,766614252433.1886,EU,1.69,84.0
PS2,2003.0,533581709788.27405,EU,1.08,85.0
XOne,2014.0,827079607752.4867,EU,1.55,81.0
X360,2009.0,758429859433.3378,EU,1.55,90.0
PS,1997.0,416023625690.5554,EU,2.46,85.0
WiiU,2012.0,766614252433.1886,EU,1.34,84.0
PS2,2004.0,615542926151.9761,EU,0.75,89.0
DS,2007.0,790101255470.7872,EU,2.43,85.0
X360,2012.0,766614252433.1886,EU,3.47,90.0
PC,2012.0,766614252433.1886,EU,2.16,88.0
PS2,2003.0,533581709788.27405,EU,2.23,68.0
PS2,2006.0,684704773969.6798,EU,0.63,92.0
X360,2010.0,753290960912.9017,EU,1.08,80.0
PS3,2009.0,758429859433.3378,EU,1.41,84.0
DS,2007.0,790101255470.7872,EU,1.8,90.0
PS3,2010.0,753290960912.9017,EU,3.28,89.0
PS,1996.0,441040911192.845,EU,1.16,91.0
PSP,2006.0,684704773969.6798,EU,1.99,86.0
PS,1999.0,429450453377.072,EU,1.38,92.0
PS2,2007.0,790101255470.7872,EU,0.01,82.0
Wii,2007.0,790101255470.7872,EU,1.17,68.0
X360,2008.0,847701674062.6414,EU,0.99,93.0
PS3,2007.0,790101255470.7872,EU,1.72,88.0
PS2,2005.0,642809709250.7335,EU,0.26,88.0
PC,2010.0,753290960912.9017,EU,1.68,93.0
PS3,2007.0,790101255470.7872,EU,2.0,81.0
PS3,2010.0,753290960912.9017,EU,1.33,92.0
PS,1999.0,429450453377.072,EU,1.57,88.0
DS,2007.0,790101255470.7872,EU,1.48,80.0
PS,2000.0,398749333247.69476,EU,2.1,62.0
X360,2011.0,813223433671.1685,EU,1.27,94.0
PS,2000.0,398749333247.69476,EU,1.41,98.0
PS2,2002.0,438750932223.38245,EU,1.95,82.0
PS,1996.0,441040911192.845,EU,1.97,91.0
Wii,2008.0,847701674062.6414,EU,1.12,73.0
PS4,2015.0,728680641956.5527,EU,1.71,86.0
GC,2002.0,438750932223.38245,EU,0.99,96.0
Wii,2007.0,790101255470.7872,EU,1.11,86.0
3DS,2013.0,799312477804.6195,EU,1.39,86.0
X360,2011.0,813223433671.1685,EU,1.97,91.0
PS2,2004.0,615542926151.9761,EU,0.26,91.0
X360,2007.0,790101255470.7872,EU,0.91,85.0
PS2,2006.0,684704773969.6798,EU,0.24,84.0
XOne,2015.0,728680641956.5527,EU,1.27,84.0
PS2,2002.0,438750932223.38245,EU,1.51,76.0
PS4,2016.0,732733680124.9802,EU,2.0,77.0
PS2,2005.0,642809709250.7335,EU,1.29,94.0
WiiU,2015.0,728680641956.5527,EU,1.18,81.0
WiiU,2012.0,766614252433.1886,EU,1.11,77.0
PS2,2001.0,402931315045.37634,EU,1.29,97.0
PS2,2006.0,684704773969.6798,EU,2.39,86.0
X360,2006.0,684704773969.6798,EU,1.03,94.0
PS2,2005.0,642809709250.7335,EU,1.79,82.0
Wii,2010.0,753290960912.9017,EU,1.33,56.0
PS3,2006.0,684704773969.6798,EU,1.72,86.0
PS2,2005.0,642809709250.7335,EU,0.58,87.0
WiiU,2013.0,799312477804.6195,EU,1.16,93.0
X360,2008.0,847701674062.6414,EU,1.24,89.0
GBA,2001.0,402931315045.37634,EU,1.11,79.0
PS3,2009.0,758429859433.3378,EU,1.31,91.0
PS2,2004.0,615542926151.9761,EU,0.0,91.0
PS3,2011.0,813223433671.1685,EU,2.01,80.0
XOne,2015.0,728680641956.5527,EU,1.32,88.0
X360,2013.0,799312477804.6195,EU,2.89,84.0
PSP,2006.0,684704773969.6798,EU,1.01,85.0
PS2,2005.0,642809709250.7335,EU,2.55,80.0
PS2,2003.0,533581709788.27405,EU,2.3,80.0
PS3,2007.0,790101255470.7872,EU,1.82,80.0
X360,2011.0,813223433671.1685,EU,1.47,80.0
PS3,2009.0,758429859433.3378,EU,1.04,94.0
PS2,2002.0,438750932223.38245,EU,0.21,95.0
PC,1997.0,416023625690.5554,EU,0.0,96.0
PC,2007.0,790101255470.7872,EU,1.52,91.0
PS4,2016.0,732733680124.9802,EU,2.15,88.0
PS2,2007.0,790101255470.7872,EU,0.04,93.0
X360,2010.0,753290960912.9017,EU,1.03,84.0
X360,2007.0,790101255470.7872,EU,1.27,90.0
Wii,2007.0,790101255470.7872,EU,1.47,56.0
PS4,2014.0,827079607752.4867,EU,1.9,80.0
PS2,2000.0,398749333247.69476,EU,1.51,85.0
PS4,2014.0,827079607752.4867,EU,2.18,85.0
PS2,2005.0,642809709250.7335,EU,1.35,61.0
X360,2009.0,758429859433.3378,EU,0.87,89.0
PS4,2015.0,728680641956.5527,EU,2.13,92.0
PS4,2014.0,827079607752.4867,EU,2.07,70.0
PS4,2015.0,728680641956.5527,EU,1.69,87.0
Wii,2011.0,813223433671.1685,EU,1.16,93.0
PS3,2008.0,847701674062.6414,EU,1.13,90.0
DS,2007.0,790101255470.7872,EU,1.76,84.0
Wii,2009.0,758429859433.3378,EU,1.35,81.0
PS2,2003.0,533581709788.27405,EU,1.17,90.0
3DS,2014.0,827079607752.4867,EU,0.48,86.0
PC,2011.0,813223433671.1685,EU,2.12,94.0
PS4,2015.0,728680641956.5527,EU,0.66,87.0
PS2,2005.0,642809709250.7335,EU,1.94,88.0
PS3,2006.0,684704773969.6798,EU,1.6,84.0
PS2,2004.0,615542926151.9761,EU,1.89,91.0
PS3,2010.0,753290960912.9017,EU,1.12,76.0
PS4,2013.0,799312477804.6195,EU,1.43,78.0
DS,2007.0,790101255470.7872,EU,1.56,59.0
PS4,2016.0,732733680124.9802,EU,1.7,80.0
Wii,2007.0,790101255470.7872,EU,1.91,68.0
X360,2008.0,847701674062.6414,EU,1.01,77.0
PC,2002.0,438750932223.38245,EU,1.56,79.0
PS,2001.0,402931315045.37634,EU,2.0,64.0
Wii,2007.0,790101255470.7872,EU,0.86,85.0
PS,2000.0,398749333247.69476,EU,1.58,91.0
PS3,2013.0,799312477804.6195,EU,1.68,88.0
PS2,2004.0,615542926151.9761,EU,2.48,81.0
PS2,2002.0,438750932223.38245,EU,1.18,94.0
DS,2007.0,790101255470.7872,EU,1.59,67.0
PSP,2005.0,642809709250.7335,EU,1.21,74.0
PS2,2002.0,438750932223.38245,EU,0.81,82.0
PS2,2001.0,402931315045.37634,EU,1.09,90.0
PS2,2007.0,790101255470.7872,EU,0.0,82.0
PS2,2005.0,642809709250.7335,EU,0.83,96.0
Wii,2008.0,847701674062.6414,EU,0.96,86.0
PS3,2009.0,758429859433.3378,EU,2.45,91.0
PS2,2004.0,615542926151.9761,EU,1.22,82.0
PS2,2001.0,402931315045.37634,EU,1.17,64.0
GC,2001.0,402931315045.37634,EU,0.67,78.0
PS4,2013.0,799312477804.6195,EU,1.55,85.0
PS2,2005.0,642809709250.7335,EU,1.02,84.0
DS,2007.0,790101255470.7872,EU,1.49,70.0
PS2,2006.0,684704773969.6798,EU,1.4,78.0
PS2,2002.0,438750932223.38245,EU,1.77,72.0
PS2,2001.0,402931315045.37634,EU,1.13,72.0
X360,2010.0,753290960912.9017,EU,2.39,88.0
X360,2008.0,847701674062.6414,EU,0.49,89.0
XOne,2014.0,827079607752.4867,EU,0.9,72.0
X360,2009.0,758429859433.3378,EU,0.93,83.0
X360,2010.0,753290960912.9017,EU,0.38,89.0
PS3,2013.0,799312477804.6195,EU,1.42,80.0
X360,2009.0,758429859433.3378,EU,0.95,92.0
X360,2013.0,799312477804.6195,EU,1.01,79.0
X360,2010.0,753290960912.9017,EU,1.01,88.0
DS,2008.0,847701674062.6414,EU,1.01,71.0
DS,2006.0,684704773969.6798,EU,1.79,83.0
X360,2009.0,758429859433.3378,EU,0.71,84.0
PS2,2002.0,438750932223.38245,EU,1.27,79.0
PS,1998.0,430053103276.2301,EU,2.07,70.0
PS4,2015.0,728680641956.5527,EU,1.36,93.0
PS2,2004.0,615542926151.9761,EU,1.2,80.0
PS2,2002.0,438750932223.38245,EU,2.28,88.0
PS3,2011.0,813223433671.1685,EU,1.05,91.0
PS,2000.0,398749333247.69476,EU,1.47,68.0
PS4,2015.0,728680641956.5527,EU,1.99,76.0
X360,2008.0,847701674062.6414,EU,1.02,76.0
XOne,2014.0,827079607752.4867,EU,0.92,75.0
PS3,2012.0,766614252433.1886,EU,1.7,90.0
PS2,2002.0,438750932223.38245,EU,1.29,77.0
PS2,2005.0,642809709250.7335,EU,1.39,60.0
DS,2009.0,758429859433.3378,EU,0.91,87.0
